PTM pattern,average mass,mass shift,masses nutlin_5,masses nutlin_6,masses uv_5,masses uv_6,raw intensities nutlin_5,raw intensities nutlin_6,raw intensities uv_5,raw intensities uv_6,rel. abundances nutlin_5,rel. abundances nutlin_6,rel. abundances uv_5,rel. abundances uv_6
1[Ph-OH]1[Na],43773.24605904241,120.69492964999517,43773.410809172325,43772.64713632025,43773.75600570958,43773.1702849675,0.7735460871638898,0.9702304539139763,0.5113598454788424,0.6713011742139299,0.13596012589944562,0.174038096880988,0.08644540343860241,0.08976037762184917
1[Ph]2[Me2],43788.75610257958,136.20497318716662,43788.75610257958,,,,0.1358506573648776,,,,0.023877404055613744,,,
1[Ph]2[Me3]1[Ox],43832.831077569215,180.27994817680155,,43832.73543827534,,43832.92671686309,,0.3980318797017939,,0.204405655862541,,0.07139820293396448,,0.02733129266420209
1[Ph-OH]1[Ph]1[Na],43853.2424675432,200.69133815078385,43853.886119385315,43853.03064718318,43854.143405863135,43851.90969774117,0.26752741846768774,0.4072377300623805,0.17149032212507645,0.7494884049447219,0.04702119511686471,0.07304953089472309,0.028990446185770145,0.1002148734952111
1[Cys]1[Ph-OH],43869.28844354269,216.73731415027578,,43869.95054767043,,43868.62633941495,,0.12623724245312767,,0.24601678780822053,,0.022644196895095753,,0.032895160359041706
1[Cys]1[Ph-OH]1[Me3],43911.86356153457,259.31243214215647,,,,43911.86356153457,,,,0.27371370905502557,,,,0.036598544481655455
2[Ph-OH]1[Ph]1[Na],43950.37996398996,297.8288345975452,43950.295705879085,43950.29138517759,43950.31810809289,43950.61465681026,0.8979586651542576,0.7200366313974362,0.6181191397077523,0.5313072849809414,0.15782714849542603,0.12915880398052107,0.10449306662927901,0.0710416492105387
3[Ph-OH]1[Ox],43962.49299642778,309.9418670353698,,43962.49299642778,,,,0.1477260732993445,,,,0.0264988225766399,,
3[Cys],44009.96583830414,357.41470891172503,44009.8286842761,44010.350735258406,44009.682657222525,44010.00127645952,0.3512291211265735,0.4254652951467851,0.24558363225699084,0.2840718521166834,0.06173278660486999,0.07631915691529055,0.041515923387557656,0.03798354255463552
1[Cys]2[Ph]2[Me3]1[Me1],44029.82747077033,377.27634137791756,44030.708134503955,44029.35711010536,44029.87522673467,44029.36941173733,0.594318788750537,0.7750655477648234,0.8932456524947676,1.0164495429425464,0.10445875001344208,0.13902978652839754,0.15100321521605026,0.13591052468352105
2[Cys]2[Me3]2[Me2]1[Ox],44047.103185597916,394.5520562055026,44047.922200959125,44045.89640527734,44047.84503081465,44046.74910534056,0.47992957308521045,0.20804784878972019,0.26017204750724876,0.3240163559553346,0.08435345516227494,0.03731922814572547,0.04398209560070337,0.043324563673320673
2[Ph-OH]3[Ph],44088.238452909914,435.6873235175008,,44088.04924934855,44088.26880052519,44088.39730885599,,0.3692258787453138,0.3220632835607744,0.5779563100281957,,0.06623103716938399,0.05444481166506468,0.07727913882737984
2[Cys]2[Ph]2[Me2],44106.906776797856,454.35564740544214,44104.962760423296,44106.43785782964,44108.288478280156,44107.938010658334,0.3319506025432933,0.3174412060561442,0.5177387057403711,0.8966524161400665,0.05834435266766587,0.05694200089344469,0.08752375003476495,0.11989232636531523
2[Cys]2[Ph]1[Me3]1[Me2],44121.175848472165,468.62471907975123,44121.175848472165,,,,0.2545737133964904,,,,0.04474442402129695,,,
1[Cys]1[Ph-OH]3[Ph]1[Ox],44125.60386771313,473.05273832071543,,44126.37607373717,,44124.83166168908,,0.17175947300535324,,0.40314102090327286,,0.030809888189495534,,0.05390440485004098
1[Cys]3[Ph-OH]1[Ac]1[Na],44129.61308126145,477.0619518690364,44130.8626465091,,44128.3635160138,,0.3144483520546924,,0.3280010021049858,,0.05526811943548917,,0.05544858323531493,
4[Ph-OH]1[Ph]1[Na],44146.42261469607,493.8714853036581,44146.76312100225,,,44146.082108389885,0.12921248036871466,,,0.13907274530507682,0.022710663773273077,,,0.018595561299454545
1[Cys]2[Ph-OH]2[Ph]1[Ac],44169.28842884307,516.7372994506586,,,,44169.28842884307,,,,0.3604547787291131,,,,0.04819678304929428
4[Cys]1[Me3]1[Ox],44187.4030606485,534.8519312560893,44186.352285061184,44187.90738333926,44187.64321469526,44187.70935949828,0.21431018429546547,0.09523781215004361,0.22508642016528183,0.30296764905686463,0.037667619450024496,0.017083577938455656,0.038050868819232746,0.04051011920006225
1[Cys]4[Ph-OH]1[Ac],44205.70946851264,553.1583391202294,44204.08052186412,44204.96083072312,44207.0910401701,44206.70548129324,0.3805126474875228,0.1949204407436383,0.37045535053331163,0.25692873194659493,0.06687972225211974,0.03496445861225664,0.06262549262712104,0.034354207749500876
3[Cys]2[Ph-OH]1[Ox],44222.07411603929,569.5229866468799,44222.07411603929,,,,0.20943032865527328,,,,0.03680992551527244,,,
2[Cys]1[Ph-OH]2[Ph]1[Me3]2[Me2]1[Ox],44262.98900030026,610.4378709078446,44262.98900030026,,,,0.09827666720355062,,,,0.017273318639567676,,,
3[Ph-OH]4[Ph],44266.337061288374,613.78593189596,,44266.22657214383,44266.44755043292,,,0.12843734530369127,0.13910193436653578,,,0.023038847167626234,0.023515187869601124,
5[Cys]1[Na]1[Ox],44286.27650340171,633.7253740092929,44285.866017860004,44285.47308345448,44287.338006148304,44286.428906144036,0.13945412805593357,0.1197156402784463,0.35642214593474214,0.24086964028643626,0.024510757823360402,0.021474364277991473,0.060253178798052524,0.03220692991497654
4[Cys]2[Ph]1[Ox],44305.01807406604,652.4669446736298,44305.613789980715,,44304.42235815137,,0.11697757848676366,,0.11830182540584107,,0.020560231073992952,,0.01999892857280317,
4[Cys]2[Ph]1[Ac]1[Me1],44345.11187473815,692.5607453457342,,,44345.11187473815,,,,0.13505598625237747,,,,0.022831220170313832,
5[Cys]1[Ph]1[Na]1[Me1],44364.330885242955,711.7797558505408,,,44364.330885242955,,,,0.1467386101389456,,,,0.024806168230911252,
5[Cys]1[Ph]1[Ac]1[Me1],44384.30289460169,731.7517652092793,,,44384.30289460169,,,,0.29972923050364775,,,,0.05066923905408941,
4[Cys]1[Ph-OH]3[Me3]1[Ac]1[Me2]1[Na],44445.43888922914,792.8877598367253,,,44445.43888922914,,,,0.11324570975576218,,,,0.019144192008976935,
4[Cys]3[Ph-OH]1[Ac],44465.06850283617,812.5173734437558,,,44465.06850283617,,,,0.14349732271830776,,,,0.02425822845579041,
