"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
,43772.107645061675,0.0,1.316599749745384,43769.31547844631,43773.28828105968,43772.48244492816,43771.4692491332,43773.316360493394,43773.41191207233,43770.59802927943,43773.295327432395,43773.4492111532,43771.38790187374,43771.22185871494,43772.378525044216,43770.40061060194,43772.23825139164,43773.36123430058,0.11122327728733097,0.1278847671799213,0.1776730712569496,0.1366905341639949,0.08595483317257428,0.08838983461845774,0.19615917532690616,0.140859814489108,0.13434357984086767,0.0498192581243968,0.10412267738145509,0.14203202384475244,0.14261278369526884,0.09536854376377601,0.0522043624192761
,43783.36219543149,11.254550369812932,0.8674776670738625,43784.27547844631,,,43782.549249133204,,,,,,,43783.26185871494,,,,,0.04845909606485096,,,0.026559669319498845,,,,,,,0.029074185353343274,,,,
"(0, 0, 0, 1, 0, 0)",43787.90629308317,15.798648021496774,1.1243926087037803,,43788.36828105968,,,,,43786.59802927943,,,,,,43787.460610601935,43789.19825139164,,,0.02446704679909195,,,,,0.07633723357206246,,,,,,0.055790875431577375,0.027362616635355032,
"(0, 0, 0, 1, 1, 1)",43791.287901873744,19.180256812069274,,,,,,,,,,,43791.287901873744,,,,,,,,,,,,,,,0.01972000790218261,,,,,
"(0, 1, 1, 0, 0, 0)",43828.7953079667,56.6876629050239,0.4926877464231162,43829.355478446305,,,,,,,,43828.429211153205,,,,,,43828.601234300586,0.015777201930684378,,,,,,,,0.030912070279757158,,,,,,0.016721024960338594
"(0, 1, 0, 1, 0, 0)",43831.36021220183,59.25256714015268,0.6733547268873504,,43831.36828105968,43831.52244492816,,,43832.37191207233,,,,,43830.26185871494,43831.378525044216,,43831.258251391635,,,0.013792704438571371,0.06133582060111676,,,0.021645457894705143,,,,,0.04556676646210556,0.03591482999667589,,0.05221612850533821,
"(1, 0, 0, 0, 1, 0)",43834.4127858233,62.30514076162217,1.437442486695566,,,,,43833.39636049339,,,,43835.429211153205,,,,,,,,,,,0.01415731428962777,,,,0.019802725554799325,,,,,,
"(0, 2, 0, 0, 1, 0)",43839.85215182155,67.74450675987464,0.49456023148270634,,,43839.50244492816,,,,,,,,43840.201858714936,,,,,,,0.01948638591324115,,,,,,,,0.013650603408291011,,,,
"(1, 0, 0, 0, 0, 0)",43850.022253866926,77.91460880525119,0.5151558037676041,43850.29547844631,,,43850.4892491332,,,43849.57802927943,,,43850.38790187374,,,43849.36061060194,,,0.13543514479894728,,,0.16835600460571817,,,0.223304332137594,,,0.04773252103432975,,,0.16082596330703638,,
"(1, 0, 0, 0, 0, 0)",43853.000340659055,80.89269559738023,0.8374320130948718,,43854.26828105968,43853.46244492816,,43854.29636049339,43852.351912072336,,43852.255327432395,43853.389211153204,,43852.22185871494,43852.298525044214,,43853.19825139164,43852.26123430058,,0.04046017665019492,0.07236764919993918,,0.028517608893905602,0.09803266129477202,,0.036488938579770015,0.06216369062482568,,0.07862171464254454,0.1627787825713424,,0.033199416426805586,0.03256405670833022
"(1, 0, 0, 1, 0, 0)",43867.23462923545,95.12698417377396,1.4167934373616995,43865.23547844631,,,43868.5092491332,,43868.351912072336,43865.558029279426,43869.13532743239,,43867.36790187374,,43867.338525044215,43866.38061060193,,,0.10240893620142456,,,0.12659026985244778,,0.03139246880863832,0.13317052327627327,0.015069845923657206,,0.09108976198096642,,0.04111887264926457,0.13026830444451037,,
"(0, 2, 1, 0, 0, 0)",43871.03450837026,98.92686330858851,0.9057251048960405,43871.25547844631,,43870.442444928165,,,,,,,,43870.22185871494,,,43872.218251391634,,0.03667342905371483,,0.02302178155428729,,,,,,,,0.03486599486175551,,,0.019941598514395545,
"(0, 2, 0, 0, 0, 1)",43877.48061060194,105.37296554026398,,,,,,,,,,,,,,43877.48061060194,,,,,,,,,,,,,,,0.040826873723800124,,
"(1, 0, 1, 1, 0, 0)",43882.28835637345,110.18071131177567,0.01821213921139005,43882.27547844631,,,,,,,,,,,,,,43882.30123430058,0.0247862850186401,,,,,,,,,,,,,,0.013826392281164683
"(1, 0, 0, 1, 0, 1)",43890.18790187374,118.08025681206345,,,,,,,,,,,43890.18790187374,,,,,,,,,,,,,,,0.025808451486059515,,,,,
"(1, 1, 0, 1, 0, 0)",43910.652581277725,138.5449362160507,1.3122560488959907,,,,,,43912.41191207233,43910.57802927943,,,,43909.24185871494,43910.378525044216,,,,,,,,,0.036478559054267515,0.04772013136464372,,,,0.02293988187772943,0.051757683908488415,,,
"(1, 1, 1, 1, 0, 0)",43924.18956782308,152.0819227614047,0.015616847635849591,,,,,,,,,,,,43924.17852504421,43924.20061060194,,,,,,,,,,,,,,0.02577173102680302,0.018476809639793375,,
"(1, 1, 0, 2, 0, 0)",43926.90675386287,154.7991088011986,0.8927582556907734,43926.27547844631,,,,,,43927.53802927943,,,,,,,,,0.027965384102608622,,,,,,0.05203969705245096,,,,,,,,
"(2, 0, 0, 0, 0, 0)",43930.92857550347,158.82093044179783,0.7061541248875864,,,,43930.4292491332,,,,,,43931.42790187374,,,,,,,,,0.027740528636359185,,,,,,0.018255937114225136,,,,,
"(2, 0, 0, 0, 0, 0)",43934.19547844631,162.087833384634,,43934.19547844631,,,,,,,,,,,,,,,0.038786481926868586,,,,,,,,,,,,,,
"(2, 0, 1, 0, 0, 0)",43945.6790549752,173.57140991352207,0.5200873217754648,,,,,,,43945.51802927943,,,,,43945.25852504421,43946.26061060194,,,,,,,,,0.06106155350385116,,,,,0.027829435739441234,0.06364377117314465,,
"(2, 0, 0, 1, 0, 0)",43949.589792583305,177.4821475216304,1.1244119238827748,43948.23547844631,43950.08828105968,43950.222444928164,43947.3892491332,43950.09636049339,43951.21191207234,,43949.09532743239,43950.2292111532,43949.327901873745,43949.04185871494,,,43949.01825139164,43951.12123430058,0.08499143106795064,0.14865106617384025,0.13167931410059394,0.09579003394365526,0.10418584629175869,0.07079438770330464,,0.13789772072690012,0.13396205488817517,0.07540035550114776,0.05537568327715579,,,0.09884311476305391,0.08710068989573225
"(2, 0, 1, 1, 0, 0)",43961.261936282404,189.15429122072965,0.8328094398590568,43961.175478446305,,43962.28244492816,,,,,,43960.249211153205,,,,43961.34061060194,,,0.055931232832649835,,0.029380745362309644,,,,,,0.026823479825501564,,,,0.03455495358679684,,
"(2, 0, 1, 0, 0, 1)",43966.73307663269,194.62543157101754,0.4881508254904194,,,,,,,,,,43966.38790187374,,,,43967.078251391635,,,,,,,,,,,0.05755496645540547,,,,0.015690984402595986,
"(2, 0, 0, 1, 0, 1)",43969.4892491332,197.38160407152463,,,,,43969.4892491332,,,,,,,,,,,,,,,0.03550371519600344,,,,,,,,,,,
"(2, 0, 1, 1, 0, 1)",43983.34790187374,211.24025681206695,,,,,,,,,,,43983.34790187374,,,,,,,,,,,,,,,0.011713880457560995,,,,,
"(2, 1, 1, 1, 0, 0)",44003.713310013794,231.6056649521197,0.570263796266029,44004.11547844631,,,44004.2892491332,,,,,,44003.26790187374,,,44003.180610601936,,,0.1276702801979896,,,0.13972993527634706,,,,,,0.07653523570291697,,,0.14008608226109284,,
"(2, 1, 0, 2, 0, 0)",44006.55019187958,234.44254681790335,0.6387533642465397,,,,,,,,,,,44007.00185871494,44006.09852504421,,,,,,,,,,,,,,0.02530652404050585,0.03129659729079236,,,
"(3, 0, 0, 0, 0, 0)",44010.24787785392,238.14023279224784,0.9104742834933965,,44010.06828105968,44011.262444928165,,44010.11636049339,44010.171912072336,,44009.0153274324,44011.209211153204,,,,,44009.01825139164,44011.12123430058,,0.05894246682431217,0.07831369262632294,,0.04236725111184066,0.03804502580469317,,0.0470140877953066,0.0918762976738583,,,,,0.0916021376062211,0.1074779620228341
"(1, 4, 0, 0, 0, 0)",44019.160610601946,247.05296554027154,,,,,,,,,,,,,,44019.160610601946,,,,,,,,,,,,,,,0.03638446819208022,,
"(3, 0, 1, 1, 1, 0)",44023.26420981775,251.1565647560783,1.098271353156452,44022.13547844631,,,44024.3292491332,,,,,,44023.327901873745,,,,,,0.04816992629864652,,,0.057727709991923705,,,,,,0.025765199293429436,,,,,
"(3, 0, 0, 1, 0, 0)",44028.93017053932,256.822525477648,1.4716679515772422,,44031.06828105968,44029.222444928164,,44030.01636049339,44029.11191207234,44027.39802927943,44030.0153274324,44029.1692111532,,44026.94185871494,44027.018525044215,44031.180610601936,44027.95825139163,44028.061234300585,,0.0995320044690613,0.1396659567019094,,0.1501504160276294,0.13537587897367123,0.05556206900432749,0.1480937534095661,0.205632092268856,,0.08632520950952176,0.11772692784863598,0.04105503702898735,0.09889186318099016,0.1345421328554231
"(3, 0, 0, 0, 0, 1)",44034.41600399344,262.30835893176845,1.2493027477398575,,,,,,,,,,44035.26790187374,44032.981858714935,,,44034.99825139163,,,,,,,,,,,0.010509312360856227,0.04700070605409851,,,0.016540907919866264,
"(3, 0, 2, 0, 0, 0)",44039.21852504421,267.1108799825379,,,,,,,,,,,,,44039.21852504421,,,,,,,,,,,,,,,0.02924479599539319,,,
"(3, 0, 1, 1, 0, 0)",44042.31584703068,270.20820196900604,1.3104073134825414,,,44043.24244492816,44041.3892491332,,,,,,,,,,,,,,0.029853772808810457,0.02431755633217925,,,,,,,,,,,
"(3, 0, 1, 0, 0, 1)",44047.372581693824,275.26493663214933,1.1775011183080912,44047.175478446305,44048.028281059684,,,44047.05636049339,44046.131912072335,,44046.99532743239,44046.0892111532,44049.24790187374,44048.981858714935,,,44045.95825139163,44048.061234300585,0.027153921214904127,0.07964033178790803,,,0.04419792373706381,0.04414246200626337,,0.06767797546098477,0.03393397129741028,0.055667989741166136,0.04321639092997096,,,0.057974292808925,0.03370728454796309
"(3, 1, 0, 0, 0, 0)",44052.24061060193,280.13296554025874,,,,,,,,,,,,,,44052.24061060193,,,,,,,,,,,,,,,0.022192437041353832,,
"(3, 1, 1, 0, 0, 0)",44068.17307663269,296.0654315710126,0.24724022694420744,,,,,,,,,,44068.34790187374,,,,44067.99825139163,,,,,,,,,,,0.055306676391305126,,,,0.025212890268893482,
"(3, 1, 2, 0, 0, 0)",44082.107901873744,310.000256812069,,,,,,,,,,,44082.107901873744,,,,,,,,,,,,,,,0.011841088854213885,,,,,
"(4, 0, 1, 0, 1, 0)",44087.61834065905,315.51069559737516,1.0193308978821594,,44088.08828105968,44088.262444928165,,44088.05636049339,44088.15191207233,,44089.1953274324,44088.2292111532,,44087.00185871494,44086.13852504421,,44086.99825139163,44086.061234300585,,0.01516645241731073,0.06689260298287553,,0.05446860353764998,0.07669323333602614,,0.04008543053393626,0.09251042757239998,,0.06446630153472573,0.06252103058749597,,0.06665972927147772,0.09121631686160206
"(3, 2, 0, 0, 0, 0)",44095.20061060194,323.09296554026514,,,,,,,,,,,,,,44095.20061060194,,,,,,,,,,,,,,,0.017623656825300062,,
"(4, 0, 1, 0, 0, 0)",44104.88385523249,332.776210170814,1.160382940816148,44104.01547844631,44106.028281059684,44105.222444928164,44106.2492491332,,,,44105.115327432395,,44105.18790187374,44104.94185871494,44103.07852504421,,44105.978251391636,44103.021234300584,0.022819025518358144,0.05406484196204628,0.05276944852484359,0.04408173070696311,,,,0.06949473975826907,,0.027328727652877673,0.09608100291842046,0.027321827753810608,,0.050149153137467255,0.02664677078118982
"(4, 0, 0, 1, 0, 0)",44107.80876728171,335.7011222200381,0.44318334210275206,,,,,44108.036360493395,44108.091912072334,44107.29802927943,,,,,,,,,,,,,0.0884434308556689,0.11999264581033396,0.05599872288896128,,,,,,,,
"(4, 0, 0, 0, 0, 1)",44112.13386809871,340.0262230370354,1.335946664125548,,,,,,,,,44111.1892111532,,,44113.07852504421,,,,,,,,,,,,0.060573937096322535,,,0.030502797058791414,,,
"(3, 2, 0, 0, 0, 1)",44117.108280866494,345.00063580481947,0.13145600716480732,,,,,,,,44117.0153274324,,,,,,,44117.201234300584,,,,,,,,0.018262255707493007,,,,,,,0.033452351814742466
"(4, 0, 2, 0, 0, 0)",44120.741520576914,348.6338755152392,0.7080066664846539,,44119.96828105968,,,,,44121.35802927943,,,,,,,44120.898251391634,,,0.029317481281007352,,,,,0.029773339975884144,,,,,,,0.024978231960707344,
"(4, 0, 0, 2, 0, 0)",44123.255076555244,351.14743149356946,0.8603611317643032,44123.035478446305,,,44122.2492491332,,44125.05191207233,,,,44123.26790187374,44122.92185871494,44123.05852504422,44123.20061060194,,,0.019097263630602754,,,0.026494903656760563,,0.0541819988095489,,,,0.01707475797372175,0.05649956703745309,0.044333674124908365,0.026947309794885067,,
"(4, 0, 0, 1, 0, 1)",44129.695872965574,357.5882279038997,0.9367727247374297,,44128.92828105968,44128.10244492816,,44129.956360493394,,,44129.99532743239,44131.069211153204,,,,,44129.87825139164,44129.94123430058,,0.060118535096345176,0.02224984518179441,,0.05467704063060055,,,0.05408526308154444,0.02721077968158905,,,,,0.03607658433935809,0.03552581988134804
"(3, 3, 0, 0, 0, 0)",44139.01547844631,366.9078333846337,,44139.01547844631,,,,,,,,,,,,,,,0.01942520618728227,,,,,,,,,,,,,,
"(4, 0, 0, 2, 0, 1)",44145.362332326586,373.2546872649109,1.0189936034835403,,44145.04828105968,,,,44146.07191207234,,,,44146.26790187374,,,,,44144.061234300585,,0.024437279789413034,,,,0.018867641378119485,,,,0.046193103157707714,,,,,0.020862756528302856
"(4, 1, 1, 0, 0, 0)",44147.94185871494,375.8342136532665,,,,,,,,,,,,44147.94185871494,,,,,,,,,,,,,,,0.011843426702391214,,,,
"(4, 1, 0, 1, 0, 0)",44150.87825139164,378.7706063299629,,,,,,,,,,,,,,,44150.87825139164,,,,,,,,,,,,,,,0.025076023503472586,
"(5, 0, 0, 0, 1, 0)",44154.98123430058,382.8735892389086,,,,,,,,,,,,,,,,44154.98123430058,,,,,,,,,,,,,,,0.025740641409600466
"(4, 1, 1, 1, 0, 0)",44163.16790187374,391.06025681206665,,,,,,,,,,,44163.16790187374,,,,,,,,,,,,,,,0.03357236903093727,,,,,
"(5, 0, 1, 0, 1, 0)",44168.51190581597,396.4042607542942,1.3416801182644418,,,,,,44170.091912072334,,44168.975327432396,,,44166.94185871494,44168.03852504421,,,,,,,,,0.04783598443849235,,0.015231162372758676,,,0.0384115796083475,0.03774512199549551,,,
"(4, 2, 0, 0, 0, 0)",44178.521234300584,406.4135892389095,,,,,,,,,,,,,,,,44178.521234300584,,,,,,,,,,,,,,,0.03131973348158978
"(5, 0, 0, 1, 0, 0)",44187.57202395494,415.46437889326626,0.8361655438557615,,44188.04828105968,44189.14244492816,44188.2692491332,44187.97636049339,44187.091912072334,44186.31802927943,44186.99532743239,,,44187.90185871494,44187.09852504421,,44186.87825139164,,,0.03510039343686108,0.016772497712784846,0.024940722195815338,0.03720006488776218,0.03934866467543088,0.031110704549791847,0.025209320901868927,,,0.0382424244546505,0.017489978068953877,,0.029481419329204298,
"(4, 2, 0, 0, 0, 1)",44198.035478446305,425.9278333846305,,44198.035478446305,,,,,,,,,,,,,,,0.016503853123140615,,,,,,,,,,,,,,
"(5, 0, 2, 0, 0, 0)",44200.53956782308,428.43192276140326,0.6490635266760065,,,,,,,,,,,,44200.99852504421,44200.080610601944,,,,,,,,,,,,,,0.04273061579670024,0.027517657436961045,,
"(5, 0, 0, 2, 0, 0)",44204.91746908718,432.8098240255058,1.072665992160754,,44203.92828105968,44204.082444928164,44205.2892491332,44206.91636049339,44204.951912072334,44203.35802927943,44205.95532743239,44205.0092111532,,44204.841858714935,,,44203.83825139164,44205.921234300586,,0.0614214829033046,0.03414082733656299,0.043815603723262125,0.061264325322431756,0.030558096351102047,0.0377625173472534,0.07031694004867925,0.04386821978205401,,0.04244198703107672,,,0.04511697344149472,0.03314705078791672
"(5, 1, 0, 0, 0, 0)",44212.85825139163,440.7506063299588,,,,,,,,,,,,,,,44212.85825139163,,,,,,,,,,,,,,,0.017542021701108565,
"(4, 3, 0, 0, 0, 0)",44219.92475768013,447.8171126184534,1.504049187261954,,44220.98828105968,,,,,,,,,,,,,44218.86123430058,,0.03541577588837501,,,,,,,,,,,,,0.04650608780284601
"(5, 1, 1, 0, 0, 0)",44226.18790187374,454.08025681206345,,,,,,,,,,,44226.18790187374,,,,,,,,,,,,,,,0.0257496073588736,,,,,
"(5, 1, 0, 0, 0, 1)",44236.18790187374,464.08025681206345,,,,,,,,,,,44236.18790187374,,,,,,,,,,,,,,,0.01586385059172659,,,,,
"(6, 0, 0, 0, 0, 0)",44249.60169016002,477.4940450983486,0.6593229284742186,44249.13547844631,,,,,,,,,44250.06790187374,,,,,,0.01662976466625242,,,,,,,,,0.026065105110139975,,,,,
"(6, 0, 1, 1, 1, 0)",44263.07809146671,490.97044640503736,0.2684324519034666,,44262.88828105968,,,,,,,,44263.26790187374,,,,,,,0.016394844451690312,,,,,,,,0.0200380802821241,,,,,
"(6, 0, 0, 1, 0, 0)",44267.05372683758,494.9460817759027,0.604782239211365,,,44267.04244492816,,44267.83636049339,,,44267.835327432396,,,44266.82185871494,,44266.14061060194,44266.83825139164,44266.86123430058,,,0.02297400491295064,,0.023700383818613932,,,0.016389715339161306,,,0.017521750336176173,,0.01950493257722535,0.02524793908470771,0.03206623809138961
"(6, 0, 0, 1, 0, 0)",44269.9892111532,497.88156609152793,,,,,,,,,,44269.9892111532,,,,,,,,,,,,,,,0.03638667361358304,,,,,,
"(5, 2, 0, 0, 0, 1)",44278.107901873744,506.000256812069,,,,,,,,,,,44278.107901873744,,,,,,,,,,,,,,,0.014085494199252563,,,,,
"(6, 0, 1, 1, 0, 0)",44281.33987967239,509.23223461071757,0.7373067859848998,,,,,,,,,,,,44280.81852504421,,,44281.86123430058,,,,,,,,,,,,0.015275552863089995,,,0.026584164604850788
"(6, 0, 0, 2, 0, 0)",44284.09584703068,511.9882019690049,0.018953435146315895,,,44284.082444928164,44284.1092491332,,,,,,,,,,,,,,0.021422583222707698,0.0216610823990713,,,,,,,,,,,
"(6, 0, 1, 0, 0, 1)",44286.62733274639,514.5196876847185,0.8560944078368816,,44285.88828105968,,,44287.83636049339,44286.91191207233,,,,,44285.72185871494,,,44286.77825139163,,,0.02318273692446693,,,0.0591524774981319,0.031641101557878686,,,,,0.01645586618123546,,,0.03214938052817057,
"(6, 1, 0, 0, 0, 0)",44292.3698796724,520.2622346107237,0.7476174545058211,,,,,,,,,,,,44292.89852504421,,,44291.841234300584,,,,,,,,,,,,0.025813928925059088,,,0.031013797828915723
"(6, 1, 0, 0, 0, 0)",44296.180610601936,524.0729655402611,,,,,,,,,,,,,,44296.180610601936,,,,,,,,,,,,,,,0.021688083840186303,,
"(5, 3, 0, 0, 0, 0)",44299.05547844631,526.9478333846346,,44299.05547844631,,,,,,,,,,,,,,,0.020092858877152744,,,,,,,,,,,,,,
"(4, 5, 0, 0, 0, 0)",44302.97989093553,530.8722458738557,1.1406836177024227,,44304.82828105968,,,44302.816360493394,,,44302.77532743239,,,,,,44302.798251391636,44301.68123430058,,0.019475592054087557,,,0.018840449142078244,,,0.01989274215832035,,,,,,0.014678048906614845,0.020666672244975877
"(7, 0, 0, 0, 1, 0)",44312.12790187374,540.0202568120658,,,,,,,,,,,44312.12790187374,,,,,,,,,,,,,,,0.025336628669854228,,,,,
"(6, 1, 0, 2, 0, 0)",44325.12790187374,553.0202568120658,,,,,,,,,,,44325.12790187374,,,,,,,,,,,,,,,0.011803545420464922,,,,,
"(6, 2, 0, 0, 0, 0)",44337.16790187374,565.0602568120667,,,,,,,,,,,44337.16790187374,,,,,,,,,,,,,,,0.012159737180367596,,,,,
"(7, 0, 1, 0, 0, 0)",44344.18316895544,572.0755238937636,1.1647491304364335,,,,,44344.77636049339,44344.93191207234,,,,,,,,,44342.841234300584,,,,,0.020234210782053137,0.01658389748429432,,,,,,,,,0.01975787092191204
"(7, 0, 0, 0, 0, 1)",44356.327901873745,584.2202568120701,,,,,,,,,,,44356.327901873745,,,,,,,,,,,,,,,0.012191518525053988,,,,,
"(7, 0, 0, 2, 0, 0)",44363.64558141751,591.5379363558386,1.057196906390874,,,,,44364.77636049339,,,,,,44362.68185871494,44363.478525044215,,,,,,,,0.020290946891340342,,,,,,0.017577777189472035,0.015665357456481534,,,
"(7, 0, 1, 0, 0, 1)",44368.881234300585,596.7735892389101,,,,,,,,,,,,,,,,44368.881234300585,,,,,,,,,,,,,,,0.03159769602348678
"(7, 1, 0, 0, 0, 0)",44372.04790187374,599.940256812064,,,,,,,,,,,44372.04790187374,,,,,,,,,,,,,,,0.017023411571346174,,,,,
"(7, 0, 1, 1, 0, 1)",44383.73784888024,611.6302038185677,1.0377585887872947,,,,,44384.75636049339,,,44383.77532743239,,,44382.68185871494,,,,,,,,,0.049829455676831814,,,0.032782065993545814,,,0.01439197920757387,,,,
"(7, 1, 0, 0, 0, 1)",44397.58828105968,625.4806359980066,,,44397.58828105968,,,,,,,,,,,,,,,0.01763077830265989,,,,,,,,,,,,,
"(7, 1, 0, 2, 0, 0)",44405.881234300585,633.7735892389101,,,,,,,,,,,,,,,,44405.881234300585,,,,,,,,,,,,,,,0.01575212524426892
"(8, 0, 2, 0, 0, 0)",44440.94790187374,668.8402568120655,,,,,,,,,,,44440.94790187374,,,,,,,,,,,,,,,0.023290874203124833,,,,,
"(8, 0, 0, 2, 0, 0)",44445.73636049339,673.6287154317179,,,,,,44445.73636049339,,,,,,,,,,,,,,,0.019123706127488985,,,,,,,,,,
"(8, 0, 1, 0, 0, 1)",44448.77532743239,676.6676823707166,,,,,,,,,44448.77532743239,,,,,,,,,,,,,,,0.018487941687284716,,,,,,,
"(8, 0, 1, 1, 0, 1)",44463.07998966182,690.9723446001444,1.4809745678467692,,44461.78828105968,,,44464.69636049339,,,44462.755327432395,,,,,,,,,0.014903241169530788,,,0.023243711304947973,,,0.026660286031845264,,,,,,,
"(8, 1, 1, 0, 0, 0)",44467.92790187374,695.8202568120687,,,,,,,,,,,44467.92790187374,,,,,,,,,,,,,,,0.00951350930079396,,,,,
"(8, 1, 0, 0, 0, 1)",44476.03852504421,703.9308799825376,,,,,,,,,,,,,44476.03852504421,,,,,,,,,,,,,,,0.015128434497623942,,,
"(8, 1, 2, 0, 0, 0)",44482.04790187374,709.940256812064,,,,,,,,,,,44482.04790187374,,,,,,,,,,,,,,,0.015546114420497395,,,,,
"(9, 0, 1, 0, 0, 0)",44506.02790187374,733.9202568120672,,,,,,,,,,,44506.02790187374,,,,,,,,,,,,,,,0.014442922950973465,,,,,
